,Date,Text,Incident_cause,Location,Direction_landmark,Status,Near_landmark,Between_landmark
15,,"due to traffic accident , all lanes of gascoigne road flyover yau ma tei bound near hong kong girl guides association headquarters are still closed to all traffic. traffic queue on gascoigne road yau ma tei bound ends at chi kiang street . traffic is congested now. ",traffic accident,gascoigne road,yau ma tei,,hong kong girl guides association headquarters,
16,,"in response to the actual situation, light rail service has been adjusted: -light rail route 705, 614, 615 and 751p suspended; -light rail route 706 and 751 will be diverted at tin shui wai area; route 751 will not stop at yau oi stop; -light rail route 505, 507, 610, 614p, 615p, 706, 751 and 761p are maintained in 12-16 minutes interval. light rail vehicles will not stop at yau oi, tin wing, ginza, tin wu, tin tsz and tin shui wai. light rail service and mtr bus will end at 8pm today. ",train technical fault,,,,,
17,,traffic at lei yue mun road and kwun tong by-pass eastern harbour crossing bound have resumed normal. ,heavy traffic,lei yue mun road and kwun tong by-pass,eastern harbour crossing,,,
18,,"due to road situation, part of the lanes of connaught road central (wan chai bound) is temporarily blocked / closed to all traffic. only remaining lane(s) is still available to motorists. traffic is busy now. ",traffic accident,,,,,
19,,part of the lanes of lung cheung road tsuen wan bound near so uk estate which was closed due to road incident is re-opened to all traffic. ,road incident,lung cheung road,tsuen wan,,so uk estate,
20,,"due to improved weather condition, the following arrangements have been implemented on hong kong zhuhai-macao-bridge (hzmb) main bridge: (i) the speed limit of the fast and middle lanes of hzmb main bridge has resumed 100 km/h; and (ii) the speed limit of the slow lane of hzmb main bridge has resumed 80km/h. ",hzmb high wind,hong kong zhuhai-macao-bridge,,,,
21,,"due to heavy traffic , argyle street and prince edward road west mong kok bound are busy. motorists passing through the above section of road are advised to drive with utmost care and patience . ",heavy traffic,argyle street and prince edward road west,mong kok,,,
22,,the middle lane of nathan road prince edward bound near man ming lane which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,nathan road,prince edward,,man ming lane,
23,,"due to the urgent maintenance of the light pole, the slow lane of the chatham road north hung hom bound near wuhu street is closed to all traffic. only remaining lane(s) is still available to motorists. traffic is busy now. ",traffic accident,chatham road north,,,,
24,,"due to emergency repairing works , the lane no. 4 of prince edward road west mong kok bound near kadoorie avenue is closed to all traffic. only remaining lane(s) is still available to motorists. ",emergency repairing works,prince edward road west,mong kok,,kadoorie avenue,
25,,traffic at tsuen wan road tuen mun bound has resumed normal. ,heavy traffic,tsuen wan road,tuen mun,,,
26,,"airport express is running normally between hong kong, kowloon, tsing yi, airport and asiaworld-expo stations.   starting from 10pm, airport express will be running between airport and hong kong stations only. trains will not stop at kowloon, tsing yi and asiaworld-expo stations.    please allow more time for travel.   in-town check-in service will be suspended at kowloon station starting from 9pm. in-town check-in service at hong kong station will remain normal and please allow 90 minutes ahead of the scheduled flight time for the check-in service. ",train technical fault,airport express line service disruption,,,,
27,,part of the lanes of san tin highway sheung shui bound near fung kat heung which was closed due to traffic accident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,san tin highway,sheung shui,,fung kat heung,
28,,"due to traffic accident , the fast lane of hong chong road ho man tin bound near hong kong polytechnic university is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,hong chong road,ho man tin,,hong kong polytechnic university,
29,,all lanes of castle peak road - san tin both bounds near hop shing wai which was closed due to fire is re-opened to all traffic. ,fire,castle peak road - san tin,,,hop shing wai,
30,,part of the lanes of fanling highway san tin bound near fanling mtr station which was closed due to traffic accident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,fanling highway,san tin,,fanling mtr station,
31,,"as the traffic lights in yau tsim mong district are damaged and are not functioning normally, motorists are advised to drive with utmost care when passing through those junctions, pay extra attention to the traffic signs, particularly the safety of pedestrians. pedestrians please use footbridges and pedestrian subways for crossing the roads. please pay attention to vehicles when crossing junctions with damaged traffic lights. ",traffic lights reminder,,,,,
32,,traffic at tuen mun road and tai lam tunnel kowloon bound has resumed normal. ,traffic accident happened earlier,tuen mun road and tai lam tunnel,kowloon,,,
33,,"due to emergency repairing works , the lane no. 3 and 4 of sha tin rural committee road sha tin wai mtr station bound near tai chung kiu road is closed to all traffic. only the lane no. 1 and 2 is still available to motorists. ",emergency repairing works,sha tin rural committee road,sha tin wai mtr station,,tai chung kiu road,
34,,"to facilitate the access control arrangements at the airport, airport express trains are now running between airport and hong kong stations only, at about 10-minute intervals. trains will not stop at kowloon, tsing yi and asiaworld-expo stations.   mtr staff and airport authority staff will check flight tickets and travel documents in hong kong station.  please allow more time for travel.   in-town check-in service is suspended at kowloon station. in-town check-in service at hong kong station remains normal and please allow 90 minutes ahead of the scheduled flight time for the check-in service. ",airport express service arrangements on 24 october,airport express line and airport express line service disruption,,,,
35,,the slow lane of gascoigne road flyover hung hom bound near wylie road which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,gascoigne road,hung hom,,wylie road,
36,,"due to vehicle breakdown , the slow lane of lion rock tunnel road kowloon bound near kak tin village is closed to all traffic.  only remaining lane is still available to motorists.   traffic is busy now. ",vehicle breakdown,lion rock tunnel road,kowloon,,kak tin village,
37,,"airport express is running normally between hong kong, kowloon, tsing yi, airport and asiaworld-expo stations. as requested by the hong kong government and airport authority, starting from 2pm, airport express will be running between airport and hong kong stations only. trains will not stop at kowloon, tsing yi and asiaworld-expo stations. mtr staff and airport authority staff will check flight tickets and travel documents in hong kong station.   please allow more time for travel. in-town check-in service will be suspended at kowloon station starting from 1pm. in-town check-in service at hong kong station will remain normal and please allow 90 minutes ahead of the scheduled flight time for the check-in service. ",train technical fault,airport express line and airport express line service disruption,,,,
38,,"due to obstacles on roads, part of the lanes of tuen mun road tuen mun bound near sham tseng is closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on tuen mun road tuen mun bound ends at ting kau . traffic is congested now. ",obstacles on roads,tuen mun road,tuen mun,,sham tseng,
39,,all lanes of man kam to road both bounds near fu tei au road which were closed due to road incident are re-opened to all traffic. traffic queue takes time to disperse. ,road incident,man kam to road,,,fu tei au road,
40,,the slow lane of east kowloon way kwun tong bound near sheung heung road which was closed due to traffic accident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,east kowloon way,kwun tong,,sheung heung road,
41,,"due to traffic accident , part of the lanes of east kowloon way tsim sha tsui bound near shansi street is still closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on east kowloon way tsim sha tsui bound ends at kai tak tunnel . traffic is congested now. ",traffic accident,east kowloon way,tsim sha tsui,,shansi street,
42,,the slow lane of east kowloon way kai tak tunnel bound near san shan road which was closed due to road incident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,road incident,east kowloon way,kai tak tunnel,,san shan road,
43,,the following road section which was temporarily closed due to road incident is reopened to all traffic:  - shanghai street jordan bound (the section between waterloo road and public square street). ,traffic accident,,,,,
44,,the slow lane of tsuen wan road kowloon bound near chun shing factory estate which was closed due to road incident is re-opened to all traffic. ,road incident,tsuen wan road,kowloon,,chun shing factory estate,
45,,the public transport services which were temporarily affected due to road situation have gradually resumed normal. ,pt,public transport services adjustment due to road situation,,,,
46,,"due to improved weather condition, the following arrangements have been implemented on hong kong zhuhai-macao-bridge (hzmb) hklr: the speed limit of the hzmb hklr resumes to 100 km/h. ",hzmb high wind,hong kong zhuhai-macao-bridge,,,,
47,,the middle lane of tseung kwan o road tseung kwan o bound near clp power hong kong limited tseung kwan o road substation which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tseung kwan o road,tseung kwan o,,clp power hong kong limited tseung kwan o road substation,
48,,the middle lane of tuen mun road kowloon bound near immigration service institute of training and development which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,tuen mun road,kowloon,,immigration service institute of training and development,
49,,the slow lane of tsing sha highway kowloon bound near tai wai tunnel kowloon entrance which was closed due to traffic accident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,tsing sha highway,kowloon,,tai wai tunnel kowloon entrance,
50,,"due to traffic accident , the slow lane of chatham road north kwun tong bound near valley road is closed to all traffic. only remaining lane(s) are still available to motorists. traffic is busy now. ",traffic accident,chatham road north,kwun tong,,valley road,
51,,"airport express is running normally between hong kong, kowloon, tsing yi, airport and asiaworld-expo stations.   - starting from 10pm today (10 november), airport express will be running between hong kong and airport stations only. trains will not stop at kowloon, tsing yi and asiaworld-expo stations.   - in-town check-in service at kowloon station will be suspended starting from 9pm. in-town check-in service at hong kong station will remain normal. please allow 90 minutes ahead of your scheduled flight departure time to use the check-in service.   - mtr staff and airport authority staff will check flight tickets and travel documents in hong kong station.  please allow more time for travel.   if you need barrier free access, please contact the station staff to check the status before you travel, as barrier free facilities in some stations may not be available due to damage. ",train technical fault,airport express line service disruption,,,,
52,,"due to road situation, the following road sections are temporary blocked/ closed: hong kong island - pok fu lam road near the university of hong kong - shau kei wan road near tai on street - des voeux road central - pedder street kowloon - hong chong road (tai kok tsui bound) near cross harbour tunnel toll plaza - chatham road south near the hong kong polytechnic university - nathan road (prince edward bound) near dundas street - clear water bay road near ngau chi wan new territories: - shun tung road - tat tung road - san wan road near so kwun po road public transport services at the above road sections will be affected, diverted or suspended. police will exercise or alter the road closure, traffic control and diversion measures depending on the traffic conditions on site. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. motorists are advised to be patient when driving in the vicinity and follow police’s instruction, and watch out for the latest traffic news through the media. motorists are advised to use alternative routes. ",road closure situation in hong kong,road closure situation in hong kong,,,,
53,,"due to road situation, the following road sections are temporary blocked/ closed: hong kong island - shau kei wan road near tai on street - des voeux road central - pedder street kowloon - hong chong road (tai kok tsui bound) near cross harbour tunnel toll plaza - nathan road (prince edward bound) near dundas street new territories: - shun tung road - tat tung road - san wan road near so kwun po road public transport services at the above road sections will be affected, diverted or suspended. police will exercise or alter the road closure, traffic control and diversion measures depending on the traffic conditions on site. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. motorists are advised to be patient when driving in the vicinity and follow police’s instruction, and watch out for the latest traffic news through the media. motorists are advised to use alternative routes. ",road closure situation in hong kong,road closure situation in hong kong,,,,
54,,"due to road situation, the following road sections are temporary blocked/ closed: hong kong - access road between upper albert road and lower albert road - pok fu lam road between smithfield and queen's road west - des voeux road central near pedder street - pedder street - connaught road central near connaught place kowloon - argyle street between cherry street and nathan road - cornwall street near tat chee avenue new territories - nam wan road (tai po centre bound) cannot make left-turning into tai po central bus terminus - tai po tai wo road near tai po centre - jockey club road between and chi ming street and lung sum avenue - on chee road between ting kok road and tai po centre - junction between san wan road and chi cheong road public transport services at the above road sections will be affected, diverted or suspended. police will exercise or alter the road closure, traffic control and diversion measures depending on the traffic conditions on site. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. motorists are advised to be patient when driving in the vicinity and follow police’s instruction, and watch out for the latest traffic news through the media. motorists are advised to use alternative routes. ",road closure situation in hong kong,road closure situation in hong kong,,,,
55,,"due to road situation, the following public transport services have been adjusted as follows: the following overnight bus routes are in limited level of service: kowloon and new territories routes: n30, n30s, n31, n64 airport / north lantau external routes: na31, na32, na33, na34, na43 north lantau shuttle: b6, n35, n37, n38 all overnight routes of new world first bus and citybus are suspended. other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",public transport services adjustment due to road s,public transport services adjustment due to road situation,,,,
56,,"due to road situation, the following public transport services have been adjusted as follows: the following bus routes are truncated/ diverted: hong kong island routes: 1, 2, 2a, 4, 6, 6x, 7, 8h, 11, 12a, 12m, 14, 15, 18p, 18x, 23, 25, 26, 30x, 37a, 37b, 66, 71, 75, 77, 81, 85, 88r, 90, 90b, 91, 97, 99, 260, 720, 722, 780, 788 kowloon and new territories routes: 1a, 3b, 5, 5c, 6c, 9, 13d, 14, 16, 21, 24, 26, 27, 30x, 32, 33a, 36b, 37, 42a, 44, 45, 46, 35x, 38, 40x, 41a, 42, 43x, 52x, 53, 54, 58x, 59x, 63x, 67x, 60m, 60x, 61x, 62x, 64k, 68a, 68e, 68m, 68x, 69m, 69x, 73, 78k, 79k, 93k, 95, 203e, 213d, 234x, 238x, 242x, 260x, 261, 263, 265b, 265m, 268c, 269b, 269c, 269d, 276, 276a, 276p, 279x, 290, 290a, 290x, 297, b1, t270, 22, 702 airport / north lantau external routes: a11, a12, a21, a22, b3a, e11, e11a, e21, e21a, e22, a33, a33p, a33x, a36, a41, a43, e31, e32a, e34a, e42 cross harbour routes: 601, 603, 606, 608, 613, 619, 680, 681, 682, 690, 694, 904, 905, 914, 930, 930x, 962b, 962x, 967, 982x, 948, 969, 970, 970x, 971, 934, 935, 936, 948, 960, 961, 968, 978 apart from the above truncated/ diverted bus route, the following bus routes of kmb and lwb are in normal services: 3d, 3m, 12, 23, 26m, 29m, 30, 31, 31b, 31m, 32h, 32m, 33, 34, 34m, 36, 36a, 36m, 37m, 38a, 39a, 39m, 40, 41m, 42c, 43, 43a, 43b, 43m, 44m, 46x, 49x, 51, 57m, 58m, 59m, 61m, 66m, 67m, 68, 68f, 80, 82x, 83x, 89d, 91, 91m, 92, 93a, 94, 95m, 98a, 99, 213m, 214, 234a, 234b, 235, 235m, 238m, 243m, 248m, 249m, 251a, 251b, 252, 258d, 258p, 259d, 268m, 269m, 273a, 278k, 286x, a31, a32, a37, a38, a41p, e32, r8, s1, s64 apart from the above truncated/ diverted bus route, the following bus routes of citybus and nwfb are suspended: 2x, 4x, 13, 15c, 40, 40m, 82, 82m, 82x, 101, 102, 103, 104, 106, 107, 109, 110, 111, 112, 113, 115, 116, 117, 118, 170, 171, 182, 307, 701, 701a, 792m, 796c, 796p, 796x, 797m, 798, 973, a20, a29p, e22a, e23, e23a, h1, h2, w1, x15 mtr bus: normal service: k66, k68, k73, k75, k75a, k75s, k76 truncated/ diverted: 506, k51, k52, k53, k58, k65 other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",public transport services adjustment due to road s,public transport services adjustment due to road situation,,,,
57,,"due to heavy traffic , tsing long highway tai lam tunnel bound is busy. motorists passing through the above section of road are advised to drive with utmost care and patience . ",heavy traffic,tsing long highway,tai lam tunnel,,,
58,2020-12-24 19:25:00,part of the lanes of the slip road leading from tsing kwai highway kwai chung bound to kwai chung road which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tsing kwai highway,kwai chung,closed,,
59,2020-12-25 08:09:00,"due to traffic accident , the one-lane-two-way traffic arrangement is now implemented on hiram's highway near mang kung wo road. ",traffic accident,hiram's highway,kowloon,new,mang kung wo road,
60,2020-12-25 16:26:00,the slow lane of prince edward road east kwun tong bound near king tai street which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,prince edward road east,kwun tong,closed,king tai street,
61,2020-12-27 00:00:00,"the transport department reminds members of the public that the tolls of the lantau link have been waived from 0.00am on 27 december 2020 (sunday). motorists can drive through the lantau toll plaza without stopping and paying tolls. motorists are advised to pay attention to the on-site situation and drive with utmost care and patience. road works is being carried out in the vicinity of the lantau toll plaza including removal of the canopy and road resurfacing. temporary traffic measures will be adjusted in phases in accordance with the required works areas and adequate traffic lanes will be reserved for vehicles to drive through the vicinity of the toll plaza. during this period, temporary traffic lanes are set up in the vicinity of the lantau toll plaza and the speed limit of 50 kilometres per hour are maintained. appropriate traffic signs and road markings are set up on-site to guide motorists. in addition, as vehicles going to and from ma wan are still subject to restriction via prohibited zone permit, the kiosks and gates at the ma wan toll plaza are retained for permit checking purposes after implementation of the toll waiver. motorists still need to stop at the gate of the ma wan toll plaza for checking of prohibited zone permits by the staff of the tsing ma control area operator when entering ma wan. for leaving ma wan, motorists can drive directly through the ma wan toll plaza. for details on the toll waiver for the lantau link, please visit the td's website (www. td. gov. hk). ",other,,,new,,
62,2020-12-27 12:12:00,"the traffic of the following road sections are busy: - tat tung road and shun tung road and vicinity motorists passing through the above section of road are advised to drive with utmost care and patience , and consider using public transport. ",heavy traffic,,,new,,
63,2020-12-27 17:18:00,"the traffic of the following road sections are busy: - tat tung road and shun tung road and vicinity - shun long road (tuen mun- chek lap kok tunnel bound) motorists passing through the above section of road are advised to drive with utmost care and patience , and consider using public transport. ",heavy traffic,,,updated,,
64,2020-12-28 11:32:00,"due to traffic accident , the lane no. 3 of island eastern corridor central bound near city garden is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,island eastern corridor,central,new,city garden,
65,2020-12-28 14:15:00,the fast lane of lung cheung road kwai chung bound near lung cheung road lookout which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,lung cheung road,kwai chung,updated,lung cheung road lookout,
66,2020-12-28 17:53:00,the traffic of the following road section is busy: - lung fu road and wong chu road (tuen mun town centre bound) motorists passing through the above section of road are advised to drive with utmost care and patience. ,heavy traffic,lung fu road and wong chu road,,new,,
67,2020-12-28 20:11:00,the middle lane of lin cheung road kwai chung bound near hoi ying estate which was closed due to road incident is re-opened to all traffic. ,road incident,lin cheung road,kwai chung,closed,hoi ying estate,
68,2020-12-29 09:38:00,"due to traffic accident , the lane no. 1 and 2 of tseung kwan o road yau tong bound near kai tin road is closed to all traffic.  only remaining lane is still available to motorists.   traffic is busy now. ",traffic accident,tseung kwan o road,yau tong,new,kai tin road,
69,2020-12-29 13:10:00,the fast lane of ching cheung road kwun tong bound near tai po road which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,ching cheung road,kwun tong,updated,tai po road,
70,2020-12-29 17:18:00,the fast lane of tuen mun road tuen mun bound near sea crest villa which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tuen mun road,tuen mun,updated,sea crest villa,
71,2020-12-29 18:43:00,the traffic of the following road sections have resumed normal: - mong kok road - sai yee street - tung choi street near mong kok road - nathan road (tsim sha tsui bound) near argyle street - prince edward road west (tai kok tsui bound) ,heavy traffic,"mong kok road, sai yee street, tung choi street, nathan road and prince edward road west",,closed,,
72,2020-12-30 06:00:00,"due to high wind , the following special traffic and transport arrangements have been implemented on hong kong-zhuhai-macao bridge (hzmb) main bridge, with details as shown below: (i) the speed limit of the fast and middle lanes of hzmb main bridge are lowered from 100km/h to 50 km/h; and (ii) the speed limit of the slow lane of hzmb main bridge is lowered from 80km/h to 50 km/h. ",hzmb high wind,,,new,,
73,2020-12-30 11:15:00,"lantau link: due to strong wind, the following temporary traffic measure is implemented on lantau link: the speed limit of lantau link is reduced to 50km/h. members of the public are advised to watch out for the latest traffic news through radio and television broadcasts, and for the traffic signs on site. ",strong wind,,,new,,
74,2020-12-30 14:20:00,"due to traffic accident , the slow lane of lung cheung road flyover yau tong bound near ping shek estate is still closed to all traffic.  only remaining lane is still available to motorists.   traffic queue on lung cheung road yau tong bound ends at lung cheung road near po kong village road.   traffic is congested now. ",traffic accident,lung cheung road,yau tong,updated,ping shek estate,
75,2020-12-30 16:46:00,part of the lanes of tsui ping road sau mau ping bound near kwun tong road which were closed due to traffic accident are re-opened to all traffic. ,traffic accident,tsui ping road,sau mau ping,updated,kwun tong road,
76,2020-12-30 18:04:00,extra travelling time can be expected on the kwun tong line.  please allow more time for travel. ,train technical fault,kwun tong line service disruption,,new,,
77,2020-12-30 18:33:00,the fast lane of waterloo road flyover tsim sha tsui bound near boundary street which was closed due to traffic accident is re-opened to all traffic. traffic queues take time to disperse. ,traffic accident,waterloo road,tsim sha tsui,closed,boundary street,
78,2020-12-31 01:00:00,"lantau link: due to strong wind, the following temporary traffic measure is implemented on lantau link: the speed limit of lantau link is reduced to 50km/h. ting kau bridge: due to strong wind, the following temporary traffic arrangement is implemented on ting kau bridge: the speed limit of ting kau bridge is reduced to 50km/h. members of the public are advised to watch out for the latest traffic news through radio and television broadcasts, and for the traffic signs on site. ",low visibility,,,new,,
79,2020-12-31 08:59:00,the fast lane of ching cheung road kwun tong bound near nob hill which was closed due to traffic accident is re-opened to all traffic.   traffic queue takes time to disperse. ,traffic accident,ching cheung road,kwun tong,closed,nob hill,
80,,"due to road situation, the following public transport services have been adjusted as follows: the following nwfb/ctb routes are suspended: hong kong island routes: 4x,40,40m,82m cross harbour routes: 101,102,103,104,106,107,109,110,112,113,116,117,118,170,171,182 (starting from 10:20 resume service via eastern harbour crossing),973, h1, h1a, h2 kowloon and new territories routes: 796p,797m airport / north lantau external routes: e23, e23a special routes: x15, x15r the following nwfb/ctb routes are truncated/ diverted: hong kong island routes: 2,2a,2x,4,7,8h,14,18x,22,23,30x,37a,37b,37x,71,77,81,82,82x,85,90b,91,94,99,720,722 kowloon and new territories routes: 701,701a,792m,796c,796x,798 cross harbour routes: 111,115,307,606,608,682,690,694,904,905,970,970x,971,969 airport / north lantau external routes: a12, a20, a21, a22, a29p, e21, e21a, e22, e22a the following kmb/lwb routes are truncated/ diverted: kowloon and new territories routes: 1,1a,2a,2x,5,5c,6c,9,11x,13d,14,16,26,27,30x,32,33a,35a,35x,36b,37,38,41,42,42a,44,45,46,35x,38,41a,47a,47x,49x,52x,58x,59x,66x,67x,60m,60x,61m,61x,62x,63x,64k,68x,69m,69x,73,75k,77k,78k,79k,81k,85x,88x,91,91m,93k,98c,234x,238x,249x,259d,260x,261,263,264r,265b,265m,268b,269b,269c,269d,276,276a,276p,279x,280x,286c,290,290a,290x,296a,297,299x, t270, b1 cross harbour routes: 601,603,613,619,641,680,681,690,934,935,936,948,960,960p,960s,961,968,978,982x,985 airport / north lantau external routes: a33, a33x, a37, a41, a43, a43p, a47x, e34a, e42, e42p the following kmb/lwb routes have provided limited services: kowloon and new territories routes: 3d,3m,5m,6d,7m,11b,11c,12,17,23m,31,31m,32h,32m,34,34m,36a,36m,37m,38a,39a,39m,40,40p,40x,41m,42c,42m,43,43a,43b,43m,43x,44m,46x,51,53,54,57m,58m,59m,66m,67m,68,68a,68e,68f,68m,76k,80,80x,82x,83x,85m,89d,89x,92,93a,94,95m,98a,98b,99,211,213m,214,234a,234b,235,235m,238m,243m,248m,249m,251a,251b,252,258d,258p,268c,268m,273a,286m,286x cross harbour routes: 302,601p,960p,960s,968 (yuen long park special service) airport / north lantau external routes: a31, a32, a36, a38, a41p, e31, e32, e32a, e33p, e34b, r8, s1, s64 other kmb/lwb routes are suspended. ",traffic accident,public transport services adjustment due to road situation,,,,
